misspelling,correct_word
teh,the
 teh,the
 thae,the
 tha,the
 thee,the
 thie,the
 thye,the
 thyee,the
 thyea,the
 thai,the
ov,of
 fo,of
 fof,of
 ofe,of
 oof,of
 ovf,of
 foe,of
 ofv,of
 fv,of
 vof,of
ndea,and
 ndas,and
 nand,and
 dnae,and
 dand,and
 nad,and
 nda,and
 andd,and
 nnda,and
 ndn,and
to,to
 too,to
 tio,to
 tiol,to
 toi,to
 toil,to
 tol,to
 tool,to
 tou,to
 tout,to
iinn,in
 innn,in
 inns,in
 inni,in
 innu,in
 innd,in
 innf,in
 innv,in
 innx,in
 innz,in
aa,a
 ai,a
 al,a
 ame,a
 ane,a
 ape,a
 arre,a
 asse,a
 ate,a
 azze,a
siis,is
 sisss,is
 izis,is
 isis,is
 siiz,is
 sisz,is
 izs,is
 sis,is
 izi,is
 szis,is
thas,that
 thaht,that
 thait,that
 thaut,that
 thatt,that
 thiat,that
 thot,that
 thuat,that
 thut,that
 thvat,that
foor,for
 foree,for
 forw,for
 foorr,for
 foir,for
 fourr,for
 fowr,for
 foeer,for
 forre,for
 fouer,for
asa,as
 azs,as
 axs,as
 ase,as
 asa,as
 aes,as
 az,as
 asx,as
 axa,as
 axes,as
i't,it
 ti't,it
 it't,it
 its't,it
 ot't,it
 ut't,it
 et't,it
 rit't,it
 sit't,it
 lut't,it
be,be
bie,be
bei,be
eb,be
ebi,be
bee,be
beb,be
bea,be
beh,be
beo,be
beh,be
by,by
bie,by
byy,by
bya,by
byi,by
byu,by
byo,by
bye,by
byf,by
byg,by
byl,by
witth,with
 wiyth,with
 wiith,with
 wihth,with
 woth,with
 wirth,with
 wiyhh,with
 whith,with
 wioth,with
 wihht,with
waz,was
 wass,was
 wasa,was
 wais,was
 wats,was
 waws,was
 wais,was
 wase,was
 wazu,was
 wassa,was
noo,on
 nonn,on
 onnne,on
 oln,on
 pon,on
 noin,on
 nobn,on
 noni,on
 onni,on
 onyn,on
noot,not
 nott,not
 noht,not
 niot,not
 nobt,not
 nogt,not
 noyt,not
 noti,not
 notu,not
 noty,not
oer,or
 roir,or
 kor,or
 lor,or
 mor,or
 porr,or
 qor,or
 sorrr,or
 torr,or
 worr,or
thiis,this
 thjis,this
 thiss,this
 thiz,this
 thies,this
 thiss,this
 thiks,this
 thils,this
 thims,this
 thirs,this
i,I
ie,I
ii,I
ioo,I
iu,I
iy,I
iaa,I
ibe,I
ido,I
il,I
aer,are
 arre,are
 eree,are
 aere,are
 ree,are
 aerre,are
 erae,are
 aree,are
 raer,are
 earre,are
ta,at
 tat,at
 ats,at
 aet,at
 ate,at
 taet,at
 ayt,at
 aot,at
 ot,at
 tae,at
frm,from
 frmo,from
 frmom,from
 froom,from
 froim,from
 frmoe,from
 frum,from
 frorm,from
 frem,from
 frmom,from
teh,he
 hee,he
 hed,he
 ehre,he
 ehe,he
 tehre,he
 hie,he
 het,he
 heri,he
 hei,he
wichh,which
 whitch,which
 wihch,which
 whiich,which
 whicch,which
 whihc,which
 whcih,which
 whiich,which
 whihhc,which
 whihhc,which
hiss,his
 hizs,his
 hisa,his
 hius,his
 hiis,his
 hids,his
 hies,his
 hias,his
 hiusd,his
 hixs,his
havve,have
 havv,have
 haeve,have
 haev,have
 hvae,have
 hvave,have
 havvee,have
 havea,have
 havai,have
 havwe,have
 havvee,have
aann,an
 naan,an
 annn,an
 ane,an
 nanne,an
 aan,an
 naen,an
 anne,an
 anin,an
 anna,an
buxt,but
 bute,but
 buttu,but
 buut,but
 buti,but
 buty,but
 buta,but
 butl,but
 butm,but
 butn,but
 butr,but
yuo,you
 yow,you
 yuou,you
 uoy,you
 yoou,you
 yuu,you
 youu,you
 yuoou,you
 yoouu,you
 yoo,you
tehy,they
 tehre,they
 thyei,they
 thyie,they
 thier,they
 tihe,they
 tiey,they
 tihre,they
 tyhe,they
 thire,they
werre,were
 weri,were
 werae,were
 werie,were
 werri,were
 werai,were
 weruo,were
 werio,were
 werpe,were
 werxe,were
hadd,had
 hadde,had
 hadda,had
 hadid,had
 hadis,had
 hadod,had
 hadud,had
 hadad,had
 hadas,had
 hadat,had
wew,we
 wee,we
 woe,we
 wea,we
 pewe,we
 wue,we
 wle,we
 wke,we
 wse,we
 wte,we
al,all
 llal,all
 allel,all
 alll,all
 aall,all
 alla,all
 allll,all
 alel,all
 alae,all
 alaell,all
onoe,one
 oen,one
