misspelling,correct_word
teh,the
 teh,the
 thae,the
 tha,the
 thee,the
 thie,the
 thye,the
 thyee,the
 thyea,the
 thaea,the
ovf,of
 oof,of
 offe,of
 oif,of
 ovff,of
 ooff,of
 ofg,of
 oofc,of
 oeff,of
 oivf,of
ndea,and
 ndas,and
 nand,and
 nad,and
 dnae,and
 dand,and
 andd,and
 naed,and
 nade,and
 daned,and
t0,to
 tio,to
 tooo,to
 totee,to
 tota,to
 tou,to
 tout,to
 tow,to
 toyto,to
 toti,to
iinn,in
 innn,in
 inns,in
 inni,in
 innu,in
 inno,in
 inniin,in
 innni,in
 innnu,in
 innin,in
aa,a
 ai,a
 al,a
 ame,a
 ane,a
 ape,a
 arre,a
 asse,a
 ate,a
 azze,a
siis,is
 sisss,is
 izs,is
 isz,is
 issi,is
 iziz,is
 isiis,is
 siis,is
 izsis,is
 sisii,is
thas,that
 thaht,that
 thae,that
 thta,that
 thot,that
 hat,that
 tahat,that
 taht,that
 tath,that
 thiat,that
foor,for
 foree,for
 forw,for
 foorr,for
 foir,for
 fourr,for
 fowr,for
 foorre,for
 foreer,for
 forwer,for
asa,as
 azs,as
 axs,as
 ase,as
 asa,as
 ash,as
 asx,as
 azsa,as
 axas,as
 aes,as
i't,it
 ti't,it
 it't,it
 its't,it
 ot't,it
 et't,it
 id't,it
 if't,it
 ir't,it
 is't,it
be,be
bie,be
bei,be
eb,be
ebbe,be
bee,be
beee,be
beeee,be
beeeee,be
beeeeeee,be
beeeeeeee,be
by,by
bie,by
byy,by
bya,by
byi,by
byo,by
byu,by
bye,by
byf,by
byg,by
byl,by
witth,with
 wihth,with
 wiith,with
 wiyth,with
 woth,with
 wirth,with
 wiyht,with
 wihht,with
 wioth,with
 wotth,with
waz,was
 wass,was
 wasa,was
 wais,was
 wats,was
 waws,was
 wais,was
 wase,was
 wazu,was
 wassa,was
noo,on
 nonn,on
 ponu,on
 ponk,on
 oni,on
 ony,on
 ponie,on
 ponyn,on
 noin,on
 nonn,on
noot,not
 nott,not
 noht,not
 niot,not
 nogt,not
 noyt,not
 noti,not
 notu,not
 noty,not
 notn,not
oer,or
 roir,or
 kor,or
 lor,or
 morr,or
 porr,or
 qor,or
 sorrr,or
 torr,or
 worr,or
thiis,this
 thjis,this
 thsi,this
 thiss,this
 thiss,this
 tgis,this
 tihs,this
 thie,this
 thies,this
 thiz,this
iil,I
 ieal,I
 iel,I
 ieml,I
 ien,I
 ier,I
 ifl,I
 igl,I
 ithl,I
 ivl,I
aer,are
 arre,are
 eree,are
 aere,are
 ree,are
 aerre,are
 erae,are
 aree,are
 raer,are
 earre,are
ta,at
 tat,at
 ats,at
 aet,at
 ate,at
 taet,at
 ayt,at
 aty,at
 tae,at
 taet,at
froam,from
 formm,from
 frum,from
 frem,from
 frm,from
 froim,from
 frorm,from
 froom,from
 frummm,from
 fronm,from
teh,he
 hee,he
 hed,he
 ehre,he
 ehe,he
 tehre,he
 hie,he
 hei,he
 het,he
 heri,he
wichh,which
 whitch,which
 wihch,which
 whiich,which
 whicth,which
 whihc,which
 whcih,which
 whithc,which
 whictch,which
 whiych,which
hiss,his
 hizs,his
 hiis,his
 hsie,his
 hsiu,his
 hsiv,his
 hsiz,his
 hysy,his
 hyis,his
 hizu,his
havve,have
 havv,have
 haeve,have
 haev,have
 hvae,have
 hvave,have
 havvee,have
 havye,have
 havvie,have
 havvea,have
aann,an
 naan,an
 annn,an
 ane,an
 nanne,an
 anin,an
 anni,an
 anne,an
 anen,an
 annu,an
buxt,but
 bute,but
 buttu,but
 buut,but
 buti,but
 buty,but
 buta,but
 butl,but
 butm,but
 butn,but
 butr,but
yuo,you
 yuou,you
 yuo,you
 youu,you
 yow,you
 yoou,you
 yuu,you
 yuoou,you
 yoy,you
 yuou,you
tehy,they
 tehre,they
 thyei,they
 thyie,they
 thier,they
 thire,they
 thyea,they
 thya,they
 thair,they
 thaer,they
 thae,they
werre,were
 weri,were
 werr,were
 werd,were
 werl,were
 werp,were
 werq,were
 werx,were
 werz,were
 werf,were
hadd,had
 hadde,had
 hdad,had
 dahd,had
 hdaed,had
 adhd,had
 hdadn,had
 dahdd,had
 hdai,had
 dahdi,had
wew,we
 wee,we
 woe,we
 wea,we
 wem,we
 wen,we
 wewr,we
 wex,we
 wewy,we
 wewn,we
al,all
 llal,all
 allel,all
 aoll,all
 alll,all
 olal,all
